patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count
12,2,2,0.4,0.4,0.6,0.6,1217.0
17,3,2,0.4,0.6,0.6,0.8,1201.0
11,2,1,0.2,0.4,0.4,0.6,1185.0
16,3,1,0.2,0.6,0.4,0.8,1163.0
13,2,3,0.6,0.4,0.8,0.6,1145.0
7,1,2,0.4,0.2,0.6,0.4,1136.0
18,3,3,0.6,0.6,0.8,0.8,1135.0
6,1,1,0.2,0.2,0.4,0.4,1104.0
8,1,3,0.6,0.2,0.8,0.4,1074.0
10,2,0,0.0,0.4,0.2,0.6,1016.0
15,3,0,0.0,0.6,0.2,0.8,991.0
14,2,4,0.8,0.4,1.0,0.6,986.0
22,4,2,0.4,0.8,0.6,1.0,980.0
19,3,4,0.8,0.6,1.0,0.8,974.0
5,1,0,0.0,0.2,0.2,0.4,959.0
21,4,1,0.2,0.8,0.4,1.0,955.0
9,1,4,0.8,0.2,1.0,0.4,938.0
23,4,3,0.6,0.8,0.8,1.0,931.0
20,4,0,0.0,0.8,0.2,1.0,821.0
24,4,4,0.8,0.8,1.0,1.0,812.0
2,0,2,0.4,0.0,0.6,0.2,746.0
1,0,1,0.2,0.0,0.4,0.2,731.0
3,0,3,0.6,0.0,0.8,0.2,715.0
0,0,0,0.0,0.0,0.2,0.2,662.0
4,0,4,0.8,0.0,1.0,0.2,653.0
