patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count,total_images_processed,total_regions
12,2,2,0.4,0.4,0.6,0.6,1169002.0,1281167,1281167
11,2,1,0.2,0.4,0.4,0.6,1105781.0,1281167,1281167
17,3,2,0.4,0.6,0.6,0.8,1105063.0,1281167,1281167
13,2,3,0.6,0.4,0.8,0.6,1103397.0,1281167,1281167
7,1,2,0.4,0.2,0.6,0.4,1088546.0,1281167,1281167
16,3,1,0.2,0.6,0.4,0.8,1049341.0,1281167,1281167
18,3,3,0.6,0.6,0.8,0.8,1047766.0,1281167,1281167
6,1,1,0.2,0.2,0.4,0.4,1034602.0,1281167,1281167
8,1,3,0.6,0.2,0.8,0.4,1032165.0,1281167,1281167
10,2,0,0.0,0.4,0.2,0.6,764108.0,1281167,1281167
14,2,4,0.8,0.4,1.0,0.6,761634.0,1281167,1281167
22,4,2,0.4,0.8,0.6,1.0,756626.0,1281167,1281167
15,3,0,0.0,0.6,0.2,0.8,735809.0,1281167,1281167
19,3,4,0.8,0.6,1.0,0.8,734020.0,1281167,1281167
21,4,1,0.2,0.8,0.4,1.0,726596.0,1281167,1281167
23,4,3,0.6,0.8,0.8,1.0,726216.0,1281167,1281167
5,1,0,0.0,0.2,0.2,0.4,722362.0,1281167,1281167
9,1,4,0.8,0.2,1.0,0.4,718756.0,1281167,1281167
2,0,2,0.4,0.0,0.6,0.2,715056.0,1281167,1281167
1,0,1,0.2,0.0,0.4,0.2,688313.0,1281167,1281167
3,0,3,0.6,0.0,0.8,0.2,686512.0,1281167,1281167
20,4,0,0.0,0.8,0.2,1.0,548978.0,1281167,1281167
24,4,4,0.8,0.8,1.0,1.0,548322.0,1281167,1281167
0,0,0,0.0,0.0,0.2,0.2,517073.0,1281167,1281167
4,0,4,0.8,0.0,1.0,0.2,512310.0,1281167,1281167
